id,age,gender,postal_code,traffic_source,avg_sequence_number,order_id,status,num_of_item,month_day
94352,16,F,36116,Organic,5.8,118105,Cancelled,1,07-23
94352,16,F,36116,Organic,5.8,118106,Cancelled,2,06-24
94352,16,F,36116,Organic,5.8,118104,Complete,1,01-05
94352,16,F,36116,Organic,5.8,118103,Processing,1,01-19
94518,30,M,36116,Search,5.0,118335,Cancelled,1,04-24
94518,30,M,36116,Search,5.0,118334,Complete,1,09-22
94518,30,M,36116,Search,5.0,118336,Complete,1,06-12
94518,30,M,36116,Search,5.0,118333,Shipped,1,10-29
95157,18,M,36116,Search,5.0,119169,Processing,1,07-16
95157,18,M,36116,Search,5.0,119170,Shipped,1,03-11
28452,48,M,36109,Search,5.0,35521,Processing,1,08-01
80326,41,F,36109,Search,11.4,100615,Cancelled,4,04-04
80326,41,F,36109,Search,11.4,100616,Processing,1,09-10
11750,17,M,35811,Search,7.0,14679,Complete,2,02-08
42269,36,M,35811,Search,6.333333333333333,52761,Complete,1,09-17
42269,36,M,35811,Search,6.333333333333333,52760,Returned,2,04-29
47383,64,F,35811,Search,7.0,59300,Cancelled,2,01-11
41243,16,F,35803,Search,10.0,51482,Complete,3,08-07
82470,20,F,35803,Organic,5.0,103274,Shipped,1,01-26
27410,58,F,35801,Search,7.0,34193,Returned,2,10-19
31662,15,F,35801,Search,7.714285714285714,39554,Complete,1,06-23
31662,15,F,35801,Search,7.714285714285714,39556,Complete,1,07-29
31662,15,F,35801,Search,7.714285714285714,39553,Shipped,2,06-29
31662,15,F,35801,Search,7.714285714285714,39555,Shipped,3,12-18
31780,68,M,35801,Search,7.0,39694,Returned,2,11-26
65160,41,F,35801,Search,7.0,81700,Cancelled,2,09-06
76630,63,M,35801,Organic,11.714285714285714,96023,Cancelled,3,01-30
76630,63,M,35801,Organic,11.714285714285714,96022,Complete,4,11-07
93341,61,F,35801,Search,7.0,116858,Complete,2,07-30
1160,34,F,35802,Organic,5.0,1450,Cancelled,1,02-13
60587,22,M,35173,Search,5.0,75965,Cancelled,1,08-07
60587,22,M,35173,Search,5.0,75964,Processing,1,01-15
62405,68,M,35173,Search,8.75,78223,Cancelled,1,10-22
62405,68,M,35173,Search,8.75,78222,Complete,3,10-06
91012,50,F,35173,Organic,6.333333333333333,113959,Returned,1,02-25
91012,50,F,35173,Organic,6.333333333333333,113960,Shipped,2,08-10
40135,29,M,35810,Search,5.0,50103,Cancelled,1,01-17
40135,29,M,35810,Search,5.0,50104,Processing,1,10-16
73011,64,M,35810,Search,8.75,91553,Cancelled,3,07-10
73011,64,M,35810,Search,8.75,91552,Shipped,1,02-16
89002,48,F,35810,Search,5.0,111419,Cancelled,1,04-13
94320,15,M,35810,Organic,5.0,118061,Complete,1,09-01
94320,15,M,35810,Organic,5.0,118062,Processing,1,01-23
59995,32,M,35805,Facebook,8.166666666666666,75180,Complete,2,11-01
59995,32,M,35805,Facebook,8.166666666666666,75181,Returned,1,01-06
59995,32,M,35805,Facebook,8.166666666666666,75182,Shipped,3,11-29
97938,47,F,35805,Search,5.0,122702,Complete,1,09-26
13380,34,M,35242,Organic,7.0,16774,Shipped,2,07-03
46467,57,F,35242,Search,5.0,58117,Returned,1,10-27
49697,44,M,35242,Email,5.0,62177,Processing,1,11-20
61449,34,M,35242,Search,5.0,77029,Processing,1,07-31
11902,28,F,35758,Search,5.0,14862,Processing,1,09-18
11902,28,F,35758,Search,5.0,14861,Returned,1,01-13
12203,49,F,35758,Search,5.0,15246,Cancelled,1,10-23
12203,49,F,35758,Search,5.0,15245,Processing,1,04-12
31520,24,M,35758,Search,5.0,39377,Shipped,1,03-11
31520,24,M,35758,Search,5.0,39378,Shipped,1,04-11
56948,64,M,35758,Search,7.0,71284,Cancelled,2,08-23
56948,64,M,35758,Search,7.0,71285,Cancelled,2,08-03
92848,38,F,35758,Search,5.0,116232,Shipped,1,06-05
2562,56,F,35749,Search,5.0,3198,Shipped,1,03-19
90837,18,M,35749,Search,6.333333333333333,113743,Cancelled,2,09-10
90837,18,M,35749,Search,6.333333333333333,113744,Shipped,1,11-08
24452,41,F,35124,Search,7.0,30586,Complete,2,12-12
12045,37,M,35216,Search,6.333333333333333,15037,Complete,1,04-11
12045,37,M,35216,Search,6.333333333333333,15038,Shipped,2,07-12
21188,43,F,35216,Search,5.0,26534,Returned,1,02-07
21188,43,F,35216,Search,5.0,26535,Returned,1,11-12
70678,60,M,35007,Search,5.0,88666,Processing,1,12-01
78820,46,M,35007,Facebook,5.0,98786,Processing,1,12-10
79078,37,F,35007,Search,7.0,99099,Shipped,2,07-09
79078,37,F,35007,Search,7.0,99100,Shipped,2,01-09
29605,20,M,35209,Organic,5.0,36949,Returned,1,12-16
67860,67,F,35209,Search,5.0,85099,Returned,1,12-06
86860,70,M,35209,Email,5.0,108717,Cancelled,1,05-16
86860,70,M,35209,Email,5.0,108715,Shipped,1,03-27
86860,70,M,35209,Email,5.0,108716,Shipped,1,03-20
87311,54,F,35209,Search,5.0,109274,Returned,1,12-06
24061,55,F,35244,Search,7.0,30111,Complete,2,08-15
48490,67,M,35244,Search,5.0,60671,Processing,1,10-14
94664,35,M,35244,Search,5.0,118521,Shipped,1,06-27
3211,25,M,35226,Search,7.0,4046,Processing,2,10-31
6611,19,F,35211,Search,5.0,8284,Shipped,1,05-10
6572,57,M,35640,Search,13.0,8244,Shipped,4,11-18
6716,40,F,35640,Search,5.0,8419,Complete,1,11-15
11531,51,M,35640,Search,7.0,14401,Complete,2,10-23
44528,39,M,35640,Search,5.0,55593,Complete,1,04-11
95001,60,F,35640,Search,5.0,118951,Complete,1,12-20
9159,21,F,35020,Search,5.0,11426,Shipped,1,08-11
82074,41,F,35020,Organic,11.181818181818182,102775,Cancelled,4,02-17
82074,41,F,35020,Organic,11.181818181818182,102777,Complete,4,04-30
82074,41,F,35020,Organic,11.181818181818182,102776,Processing,2,05-09
82074,41,F,35020,Organic,11.181818181818182,102778,Processing,1,12-04
84115,17,M,35020,Search,5.0,105334,Shipped,1,01-25
11266,15,M,35603,Email,5.0,14061,Shipped,1,12-10
11266,15,M,35603,Email,5.0,14062,Shipped,1,05-29
12715,24,F,35603,Search,5.0,15899,Complete,1,10-20
85880,60,M,35603,Search,5.0,107492,Complete,1,07-31
85880,60,M,35603,Search,5.0,107491,Returned,1,12-04
87960,63,F,35603,Search,5.0,110117,Cancelled,1,01-13
87960,63,F,35603,Search,5.0,110115,Shipped,1,12-11
87960,63,F,35603,Search,5.0,110116,Shipped,1,01-07
97948,28,F,35603,Search,13.0,122716,Shipped,4,06-12
28570,16,M,35601,Search,5.0,35661,Complete,1,11-06
56020,59,M,35601,Search,10.0,70117,Shipped,3,12-28
60159,49,M,35601,Search,5.0,75387,Shipped,1,01-11
27769,33,M,35611,Search,5.0,34675,Cancelled,1,06-20
27769,33,M,35611,Search,5.0,34676,Processing,1,06-26
68136,58,M,35023,Organic,5.0,85443,Processing,1,11-03
28814,49,F,35404,Search,5.0,35967,Returned,1,03-18
49754,50,M,35404,Organic,7.0,62242,Cancelled,2,09-17
72417,63,M,35404,Search,5.0,90804,Complete,1,06-19
9977,57,F,35405,Search,5.0,12419,Processing,1,03-23
9977,57,F,35405,Search,5.0,12420,Processing,1,08-13
9977,57,F,35405,Search,5.0,12417,Returned,1,07-24
9977,57,F,35405,Search,5.0,12418,Shipped,1,01-07
88950,13,M,35405,Search,5.0,111370,Processing,1,04-01
97576,40,F,35405,Email,5.0,122239,Shipped,1,05-24
23288,58,M,35401,Facebook,5.0,29144,Shipped,1,10-15
33729,19,M,35401,Organic,5.0,42203,Cancelled,1,06-22
60321,31,F,35401,Search,5.0,75588,Returned,1,09-28
60321,31,F,35401,Search,5.0,75587,Shipped,1,11-22
61431,62,M,35401,Search,5.0,77009,Complete,1,01-09
61431,62,M,35401,Search,5.0,77008,Shipped,1,01-08
70518,67,M,35401,Search,5.0,88472,Cancelled,1,08-24
70518,67,M,35401,Search,5.0,88474,Returned,1,03-28
70518,67,M,35401,Search,5.0,88473,Shipped,1,01-03
73685,60,M,35401,Search,6.333333333333333,92380,Processing,1,04-04
73685,60,M,35401,Search,6.333333333333333,92381,Processing,2,01-28
73685,60,M,35401,Search,6.333333333333333,92382,Shipped,2,09-25
73685,60,M,35401,Search,6.333333333333333,92383,Shipped,1,12-28
68349,30,F,36535,Search,5.0,85716,Complete,1,01-10
27480,49,F,36526,Organic,5.0,34266,Cancelled,1,12-01
28620,28,M,36526,Email,5.0,35726,Shipped,1,12-01
85862,18,M,36526,Search,7.0,107470,Shipped,2,10-15
69905,21,M,36532,Search,5.0,87691,Complete,1,02-04
10504,29,F,36605,Search,5.0,13079,Complete,1,12-07
39652,25,M,36605,Facebook,9.571428571428571,49526,Cancelled,1,11-19
39652,25,M,36605,Facebook,9.571428571428571,49529,Complete,1,09-16
39652,25,M,36605,Facebook,9.571428571428571,49527,Shipped,4,08-14
39652,25,M,36605,Facebook,9.571428571428571,49528,Shipped,1,05-16
65636,33,M,36605,Email,10.0,82272,Complete,3,12-19
67310,66,F,36605,Search,13.0,84395,Cancelled,4,03-09
91630,45,F,36605,Search,6.0,114708,Complete,1,07-23
91630,45,F,36605,Search,6.0,114709,Processing,1,11-06
91630,45,F,36605,Search,6.0,114707,Returned,2,11-06
23395,66,M,36609,Email,5.0,29266,Processing,1,01-02
89621,33,M,36609,Email,5.0,112191,Complete,1,01-10
66229,32,M,36582,Search,6.333333333333333,82991,Complete,2,05-19
66229,32,M,36582,Search,6.333333333333333,82992,Processing,1,12-11
3468,25,M,36695,Organic,5.0,4388,Complete,1,01-11
12158,63,M,36695,Email,5.0,15187,Complete,1,09-07
23468,59,M,36695,Search,5.0,29358,Returned,1,12-30
48879,51,M,36695,Organic,6.333333333333333,61131,Shipped,2,01-31
48879,51,M,36695,Organic,6.333333333333333,61132,Shipped,1,12-20
62603,42,M,36695,Email,11.4,78480,Returned,4,09-23
62603,42,M,36695,Email,11.4,78479,Shipped,1,04-17
93777,58,M,36695,Search,5.0,117375,Processing,1,09-23
7421,50,F,36608,Search,6.6,9292,Cancelled,2,07-03
7421,50,F,36608,Search,6.6,9291,Complete,2,10-10
7421,50,F,36608,Search,6.6,9293,Processing,1,07-13
26579,61,F,36608,Search,5.0,33186,Cancelled,1,04-29
27737,17,M,36608,Search,5.0,34643,Shipped,1,02-24
45759,17,F,36608,Search,5.0,57132,Complete,1,11-24
49728,27,F,36608,Search,6.333333333333333,62205,Complete,1,12-10
49728,27,F,36608,Search,6.333333333333333,62206,Shipped,2,01-03
54300,20,M,36608,Search,5.0,67964,Processing,1,09-16
71587,32,M,36608,Organic,11.4,89814,Cancelled,4,09-21
71587,32,M,36608,Organic,11.4,89815,Processing,1,09-02
5415,59,F,99801,Email,5.0,6793,Shipped,1,12-19
37669,55,M,99705,Search,5.0,47085,Processing,1,11-30
1348,65,F,99709,Search,7.0,1676,Shipped,2,01-08
4370,39,F,99709,Search,5.0,5531,Cancelled,1,01-25
4370,39,F,99709,Search,5.0,5530,Complete,1,01-19
20645,52,F,99709,Search,5.0,25874,Shipped,1,12-10
49878,45,F,99709,Search,6.333333333333333,62394,Cancelled,2,07-11
49878,45,F,99709,Search,6.333333333333333,62395,Shipped,1,02-08
15430,19,F,99577,Organic,5.0,19379,Returned,1,01-17
33539,50,F,99577,Search,5.0,41958,Complete,1,12-06
33539,50,F,99577,Search,5.0,41959,Shipped,1,12-12
44063,24,F,99577,Search,5.0,55011,Cancelled,1,06-23
45564,49,F,99577,Organic,7.0,56888,Complete,2,11-22
7108,59,M,99645,Search,13.0,8893,Shipped,4,10-23
17428,25,M,99645,Email,5.8,21852,Cancelled,2,10-04
17428,25,M,99645,Email,5.8,21851,Processing,1,02-01
17428,25,M,99645,Email,5.8,21853,Shipped,1,07-06
17428,25,M,99645,Email,5.8,21854,Shipped,1,09-26
44231,16,F,99645,Search,5.0,55221,Cancelled,1,04-14
51250,12,F,99645,Organic,5.0,64150,Shipped,1,05-28
51250,12,F,99645,Organic,5.0,64151,Shipped,1,12-06
51250,12,F,99645,Organic,5.0,64152,Shipped,1,01-01
96713,34,M,99645,Search,5.0,121169,Complete,1,12-16
15636,62,F,99504,Search,7.5,19591,Cancelled,1,02-08
15636,62,F,99504,Search,7.5,19592,Cancelled,3,06-25
15636,62,F,99504,Search,7.5,19593,Processing,1,12-03
15636,62,F,99504,Search,7.5,19594,Shipped,1,04-19
21286,16,M,99504,Email,5.0,26665,Shipped,1,02-05
32073,34,M,99504,Search,5.0,40052,Cancelled,1,12-31
49305,46,F,99504,Search,5.0,61673,Returned,1,12-29
49305,46,F,99504,Search,5.0,61672,Shipped,1,12-23
98823,35,M,99504,Search,5.0,123747,Cancelled,1,09-30
98823,35,M,99504,Search,5.0,123748,Cancelled,1,12-10
17775,35,M,99507,Search,8.8,22284,Complete,3,09-22
17775,35,M,99507,Search,8.8,22285,Complete,2,11-17
47010,35,M,99507,Search,5.0,58827,Shipped,1,05-26
91283,29,F,99507,Display,6.333333333333333,114276,Cancelled,2,08-04
91283,29,F,99507,Display,6.333333333333333,114277,Cancelled,1,05-20
1844,45,F,99508,Search,5.0,2274,Cancelled,1,04-26
1844,45,F,99508,Search,5.0,2275,Processing,1,07-16
6657,42,F,99508,Search,5.0,8338,Shipped,1,07-30
72052,52,M,99508,Search,7.0,90379,Shipped,2,06-27
40971,65,F,99654,Search,5.0,51154,Processing,1,05-07
46120,43,F,99654,Email,5.0,57644,Complete,1,01-07
46120,43,F,99654,Email,5.0,57643,Shipped,1,03-26
70361,43,M,99654,Search,5.0,88260,Complete,1,05-06
85829,36,F,99654,Search,5.0,107438,Processing,1,09-26
95318,45,F,99654,Facebook,7.0,119395,Shipped,2,06-11
18064,35,M,99515,Search,5.0,22643,Complete,1,11-08
18064,35,M,99515,Search,5.0,22645,Processing,1,12-22
18064,35,M,99515,Search,5.0,22644,Shipped,1,02-13
78690,70,F,99515,Search,5.0,98617,Shipped,1,11-08
3503,56,M,99502,Search,6.0,4439,Cancelled,1,07-17
3503,56,M,99502,Search,6.0,4440,Shipped,1,07-02
3503,56,M,99502,Search,6.0,4441,Shipped,2,03-09
67419,65,M,99502,Search,5.0,84539,Cancelled,1,02-15
71455,41,F,99502,Display,10.0,89650,Shipped,3,04-03
58693,64,F,85607,Search,7.875,73509,Cancelled,2,07-13
58693,64,F,85607,Search,7.875,73508,Processing,2,10-16
58693,64,F,85607,Search,7.875,73507,Shipped,1,02-16
58693,64,F,85607,Search,7.875,73510,Shipped,3,02-20
2213,26,M,85635,Search,10.0,2757,Cancelled,3,04-29
2345,14,M,85635,Search,7.0,2912,Complete,2,06-20
28131,35,M,85635,Search,5.0,35133,Cancelled,1,12-10
28131,35,M,85635,Search,5.0,35135,Complete,1,02-12
28131,35,M,85635,Search,5.0,35134,Shipped,1,11-06
73621,59,M,85635,Display,5.0,92312,Returned,1,02-07
12894,39,M,85747,Organic,5.0,16152,Shipped,1,03-09
12894,39,M,85747,Organic,5.0,16153,Shipped,1,06-04
12894,39,M,85747,Organic,5.0,16154,Shipped,1,04-12
58549,46,F,85747,Facebook,5.0,73319,Processing,1,11-18
65694,38,F,85747,Search,13.0,82337,Shipped,4,01-05
16940,55,M,85730,Facebook,10.333333333333334,21246,Complete,1,10-17
16940,55,M,85730,Facebook,10.333333333333334,21244,Processing,1,10-04
16940,55,M,85730,Facebook,10.333333333333334,21245,Processing,4,09-02
23351,30,M,85730,Search,5.0,29211,Cancelled,1,09-20
23351,30,M,85730,Search,5.0,29210,Shipped,1,03-28
34431,65,M,85730,Search,6.333333333333333,43041,Complete,2,05-11
34431,65,M,85730,Search,6.333333333333333,43042,Complete,1,10-25
41998,54,F,85730,Search,7.0,52409,Shipped,2,03-31
92757,22,M,85730,Display,5.0,116128,Complete,1,10-23
5266,41,M,85710,Search,5.0,6609,Complete,1,01-03
21633,21,F,85710,Search,6.333333333333333,27035,Complete,1,05-21
21633,21,F,85710,Search,6.333333333333333,27036,Complete,2,07-28
54611,13,M,85710,Search,6.333333333333333,68347,Shipped,2,12-14
54611,13,M,85710,Search,6.333333333333333,68348,Shipped,1,02-10
61918,39,F,85710,Search,5.0,77591,Shipped,1,10-15
71611,61,F,85710,Search,10.0,89842,Shipped,3,10-08
82869,49,F,85710,Organic,5.0,103775,Shipped,1,03-28
10561,60,M,85750,Organic,5.0,13155,Complete,1,06-24
10561,60,M,85750,Organic,5.0,13156,Shipped,1,04-18
37688,48,M,85750,Search,5.0,47104,Complete,1,10-30
62638,26,F,85750,Facebook,5.0,78532,Cancelled,1,05-05
62638,26,F,85750,Facebook,5.0,78531,Processing,1,06-10
83408,13,F,85750,Search,8.166666666666666,104445,Complete,2,06-29
83408,13,F,85750,Search,8.166666666666666,104446,Shipped,1,11-12
83408,13,F,85750,Search,8.166666666666666,104447,Shipped,3,08-18
33126,21,M,85711,Search,5.0,41440,Processing,1,08-11
55276,64,F,85711,Search,7.0,69159,Returned,2,09-07
93979,50,M,85711,Search,7.0,117632,Complete,2,04-20
97096,21,M,85711,Facebook,13.0,121633,Complete,4,04-28
1022,20,M,85712,Facebook,5.0,1284,Shipped,1,01-08
86912,18,M,85712,Search,5.0,108781,Complete,1,07-29
30405,12,M,85756,Search,6.333333333333333,37962,Processing,1,10-04
30405,12,M,85756,Search,6.333333333333333,37963,Processing,2,05-18
32049,59,F,85756,Search,5.0,40025,Shipped,1,07-25
54870,57,M,85756,Search,7.0,68670,Complete,2,01-05
76939,41,M,85756,Search,5.0,96422,Shipped,1,10-29
91622,45,F,85756,Search,7.0,114698,Complete,2,09-16
7787,17,M,85718,Search,5.0,9787,Processing,1,12-04
33398,53,M,85716,Search,5.0,41778,Shipped,1,07-18
84127,26,F,85716,Search,7.5,105352,Cancelled,1,04-25
84127,26,F,85716,Search,7.5,105351,Complete,1,02-05
84127,26,F,85716,Search,7.5,105353,Complete,3,04-29
84127,26,F,85716,Search,7.5,105350,Processing,1,05-31
85638,44,M,85716,Search,5.0,107186,Returned,1,11-19
10566,31,F,85706,Search,5.0,13162,Cancelled,1,11-07
10566,31,F,85706,Search,5.0,13161,Shipped,1,10-10
49106,39,F,85706,Organic,5.0,61415,Complete,1,08-24
62046,58,M,85706,Search,7.0,77746,Shipped,2,11-24
82371,32,F,85706,Search,5.0,103146,Returned,1,11-13
95172,24,F,85706,Search,7.0,119195,Shipped,2,02-25
95172,24,F,85706,Search,7.0,119196,Shipped,2,02-21
31014,42,F,85719,Search,6.333333333333333,38724,Complete,2,10-30
31014,42,F,85719,Search,6.333333333333333,38725,Processing,1,06-14
65628,70,M,85719,Search,5.0,82259,Processing,1,03-03
65628,70,M,85719,Search,5.0,82260,Processing,1,05-05
65970,59,F,85719,Search,13.0,82677,Processing,4,04-25
91116,33,M,85719,Search,7.0,114082,Shipped,2,11-18
3871,59,F,85713,Search,5.0,4883,Shipped,1,02-06
16565,53,F,85713,Search,5.0,20781,Complete,1,04-25
47415,21,M,85713,Search,6.333333333333333,59342,Complete,1,10-16
47415,21,M,85713,Search,6.333333333333333,59343,Complete,2,07-13
48910,26,F,85713,Search,5.0,61174,Complete,1,07-13
69669,28,F,85713,Search,7.0,87410,Cancelled,2,08-15
70528,34,M,85713,Search,5.0,88490,Returned,1,11-28
78667,58,F,85713,Search,7.0,98583,Processing,2,08-04
15382,24,F,85704,Organic,6.333333333333333,19319,Cancelled,1,01-08
15382,24,F,85704,Organic,6.333333333333333,19318,Shipped,2,02-23
19232,49,M,85704,Search,5.0,24086,Processing,1,07-15
60529,62,F,85704,Organic,5.0,75882,Cancelled,1,12-03
60529,62,F,85704,Organic,5.0,75883,Complete,1,01-05
62226,54,M,85704,Search,7.0,77989,Shipped,2,11-17
67766,29,F,85704,Facebook,7.0,84961,Complete,2,01-23
91786,42,F,85704,Search,7.0,114911,Returned,2,10-13
11435,19,F,85705,Email,8.0,14279,Complete,1,02-14
11435,19,F,85705,Email,8.0,14281,Complete,3,11-05
11435,19,F,85705,Email,8.0,14280,Processing,1,04-13
19276,45,F,85705,Search,5.0,24142,Complete,1,01-09
19276,45,F,85705,Search,5.0,24143,Complete,1,10-04
19276,45,F,85705,Search,5.0,24144,Returned,1,09-12
25164,32,F,85705,Search,7.0,31440,Shipped,2,05-14
28419,48,M,85705,Organic,5.0,35486,Processing,1,02-26
44452,29,F,85705,Search,5.0,55506,Returned,1,10-20
59081,13,M,85705,Search,5.0,73977,Cancelled,1,09-23
94049,33,M,85705,Search,5.0,117725,Processing,1,09-23
94049,33,M,85705,Search,5.0,117726,Processing,1,08-26
20345,52,M,85629,Search,7.0,25497,Processing,2,06-20
12354,28,F,85746,Facebook,5.0,15440,Complete,1,09-24
25121,63,M,85746,Search,7.0,31382,Shipped,2,03-24
38033,47,F,85746,Search,5.0,47535,Complete,1,05-31
38033,47,F,85746,Search,5.0,47536,Complete,1,12-02
41647,25,M,85746,Search,5.0,51969,Complete,1,07-04
77111,60,F,85746,Search,5.0,96626,Cancelled,1,10-09
92357,55,F,85746,Search,5.0,115630,Processing,1,05-30
92357,55,F,85746,Search,5.0,115632,Processing,1,12-06
92357,55,F,85746,Search,5.0,115631,Shipped,1,09-03
92357,55,F,85746,Search,5.0,115633,Shipped,1,01-07
9581,12,M,85741,Search,5.0,11943,Complete,1,08-18
10317,16,F,85741,Facebook,5.0,12839,Shipped,1,01-07
51064,68,M,85741,Search,5.0,63899,Complete,1,05-23
4212,41,F,85621,Search,5.0,5322,Processing,1,06-02
8152,20,F,85742,Search,13.0,10241,Returned,4,03-13
16929,55,M,85742,Search,5.0,21230,Complete,1,08-07
47988,54,F,85742,Search,6.333333333333333,60056,Returned,1,01-01
47988,54,F,85742,Search,6.333333333333333,60057,Shipped,2,05-05
66845,46,M,85742,Organic,5.0,83796,Shipped,1,12-18
27255,18,M,85745,Search,5.0,34000,Returned,1,07-10
61591,32,F,85745,Search,5.0,77184,Returned,1,07-12
66279,26,M,85745,Search,13.0,83055,Processing,4,07-03
90146,17,F,85745,Organic,7.0,112839,Shipped,2,09-30
14768,22,F,85743,Search,6.333333333333333,18567,Complete,1,03-27
14768,22,F,85743,Search,6.333333333333333,18568,Shipped,2,08-06
47503,20,F,85743,Search,13.0,59471,Returned,4,05-16
50603,36,F,85743,Search,5.0,63294,Cancelled,1,02-02
50603,36,F,85743,Search,5.0,63295,Cancelled,1,03-31
17141,20,M,85132,Organic,5.0,21497,Processing,1,08-29
20426,30,M,85132,Search,5.0,25602,Complete,1,03-19
24160,68,F,85132,Search,7.0,30250,Complete,2,06-27
25656,18,F,85132,Search,8.75,32053,Complete,3,11-25
25656,18,F,85132,Search,8.75,32052,Processing,1,10-05
50810,38,F,85132,Facebook,7.0,63566,Cancelled,2,08-23
62600,63,M,85132,Search,7.0,78476,Cancelled,2,05-23
64860,34,F,85132,Search,5.0,81311,Complete,1,12-12
64860,34,F,85132,Search,5.0,81310,Shipped,1,09-23
89623,37,M,85132,Search,13.0,112193,Complete,4,08-01
1350,18,M,85119,Organic,6.333333333333333,1678,Complete,2,09-29
1350,18,M,85119,Organic,6.333333333333333,1679,Shipped,1,01-22
66586,33,M,85119,Search,7.0,83488,Returned,2,04-14
72112,58,M,85119,Organic,5.0,90451,Processing,1,07-17
96406,55,M,85119,Display,5.0,120788,Complete,1,11-30
6911,19,F,85118,Search,6.333333333333333,8651,Shipped,2,10-08
6911,19,F,85118,Search,6.333333333333333,8652,Shipped,1,10-25
8295,66,M,85118,Search,11.4,10405,Cancelled,1,03-03
8295,66,M,85118,Search,11.4,10406,Shipped,4,07-15
44446,59,M,85118,Search,6.333333333333333,55497,Complete,2,11-19
44446,59,M,85118,Search,6.333333333333333,55498,Complete,1,12-17
58389,21,M,85118,Search,5.0,73118,Complete,1,03-26
58389,21,M,85118,Search,5.0,73121,Complete,1,04-05
58389,21,M,85118,Search,5.0,73120,Processing,1,08-21
58389,21,M,85118,Search,5.0,73119,Returned,1,05-03
19397,68,F,86004,Search,7.0,24298,Cancelled,2,06-17
38577,45,F,86004,Search,7.0,48226,Shipped,2,02-06
48554,14,M,86004,Search,6.333333333333333,60741,Complete,1,01-10
48554,14,M,86004,Search,6.333333333333333,60742,Shipped,2,12-31
90041,22,F,86004,Search,7.0,112708,Complete,2,10-24
90148,66,M,86004,Organic,5.0,112841,Complete,1,12-08
4927,51,M,85143,Search,5.0,6207,Shipped,1,10-08
6057,52,M,85143,Search,7.0,7614,Shipped,2,10-12
8658,43,M,85143,Search,9.5,10820,Cancelled,1,06-08
8658,43,M,85143,Search,9.5,10817,Complete,4,11-09
8658,43,M,85143,Search,9.5,10818,Complete,1,12-12
8658,43,M,85143,Search,9.5,10819,Complete,2,07-24
20151,45,M,85143,Organic,13.0,25265,Returned,4,06-17
55874,68,M,85143,Search,5.0,69913,Shipped,1,06-22
56517,16,M,85143,Search,6.333333333333333,70749,Processing,2,02-11
56517,16,M,85143,Search,6.333333333333333,70750,Shipped,1,07-31
57332,57,F,85143,Search,5.0,71771,Complete,1,07-18
57332,57,F,85143,Search,5.0,71773,Complete,1,10-03
57332,57,F,85143,Search,5.0,71774,Complete,1,09-08
