age,postal_code,avg_sequence_number,num_of_item,gender_F,gender_M,status_Cancelled,status_Complete,status_Processing,status_Returned,status_Shipped,traffic_source_Display,traffic_source_Email,traffic_source_Facebook,traffic_source_Organic,traffic_source_Search,product_id
55,36330,5.8,1,0,1,0,1,0,0,0,0,0,1,0,0,23041
55,36330,5.8,1,0,1,0,1,0,0,0,0,0,1,0,0,19982
55,36330,5.8,1,0,1,0,1,0,0,0,0,0,1,0,0,26988
55,36330,5.8,1,0,1,0,1,0,0,0,0,0,1,0,0,26976
55,36330,5.8,1,0,1,0,1,0,0,0,0,0,1,0,0,16034
55,36330,5.8,1,0,1,0,1,0,0,0,0,0,1,0,0,23041
55,36330,5.8,1,0,1,0,1,0,0,0,0,0,1,0,0,19982
55,36330,5.8,1,0,1,0,1,0,0,0,0,0,1,0,0,26988
55,36330,5.8,1,0,1,0,1,0,0,0,0,0,1,0,0,26976
55,36330,5.8,1,0,1,0,1,0,0,0,0,0,1,0,0,16034
55,36330,5.8,1,0,1,0,0,1,0,0,0,0,1,0,0,23041
55,36330,5.8,1,0,1,0,0,1,0,0,0,0,1,0,0,19982
55,36330,5.8,1,0,1,0,0,1,0,0,0,0,1,0,0,26988
55,36330,5.8,1,0,1,0,0,1,0,0,0,0,1,0,0,26976
55,36330,5.8,1,0,1,0,0,1,0,0,0,0,1,0,0,16034
13,36330,5.0,1,1,0,1,0,0,0,0,0,0,0,0,1,15694
13,36330,5.0,1,1,0,1,0,0,0,0,0,0,0,0,1,2796
13,36330,5.0,1,1,0,0,0,0,1,0,0,0,0,0,1,15694
13,36330,5.0,1,1,0,0,0,0,1,0,0,0,0,0,1,2796
24,35160,5.0,1,1,0,0,0,0,0,1,0,0,0,0,1,12923
15,35160,5.0,1,1,0,1,0,0,0,0,0,0,0,0,1,10620
15,35160,5.0,1,1,0,1,0,0,0,0,0,0,0,0,1,3166
15,35160,5.0,1,1,0,0,1,0,0,0,0,0,0,0,1,10620
15,35160,5.0,1,1,0,0,1,0,0,0,0,0,0,0,1,3166
66,35160,5.0,1,1,0,0,1,0,0,0,0,0,0,0,1,15933
66,35160,5.0,1,1,0,0,1,0,0,0,0,0,0,0,1,7144
66,35160,5.0,1,1,0,0,1,0,0,0,0,0,0,0,1,14377
66,35160,5.0,1,1,0,0,1,0,0,0,0,0,0,0,1,1858
66,35160,5.0,1,1,0,0,0,1,0,0,0,0,0,0,1,15933
66,35160,5.0,1,1,0,0,0,1,0,0,0,0,0,0,1,7144
66,35160,5.0,1,1,0,0,0,1,0,0,0,0,0,0,1,14377
66,35160,5.0,1,1,0,0,0,1,0,0,0,0,0,0,1,1858
66,35160,5.0,1,1,0,0,0,1,0,0,0,0,0,0,1,15933
66,35160,5.0,1,1,0,0,0,1,0,0,0,0,0,0,1,7144
66,35160,5.0,1,1,0,0,0,1,0,0,0,0,0,0,1,14377
66,35160,5.0,1,1,0,0,0,1,0,0,0,0,0,0,1,1858
66,35160,5.0,1,1,0,0,0,0,0,1,0,0,0,0,1,15933
66,35160,5.0,1,1,0,0,0,0,0,1,0,0,0,0,1,7144
66,35160,5.0,1,1,0,0,0,0,0,1,0,0,0,0,1,14377
66,35160,5.0,1,1,0,0,0,0,0,1,0,0,0,0,1,1858
40,35160,7.0,2,1,0,0,1,0,0,0,0,0,0,1,0,10117
40,35160,7.0,2,1,0,0,1,0,0,0,0,0,0,1,0,456
27,35160,8.75,1,1,0,0,1,0,0,0,0,0,0,0,1,1846
27,35160,8.75,1,1,0,0,1,0,0,0,0,0,0,0,1,10683
27,35160,8.75,1,1,0,0,1,0,0,0,0,0,0,0,1,3746
27,35160,8.75,1,1,0,0,1,0,0,0,0,0,0,0,1,7659
27,35160,8.75,3,1,0,0,0,0,0,1,0,0,0,0,1,1846
27,35160,8.75,3,1,0,0,0,0,0,1,0,0,0,0,1,10683
27,35160,8.75,3,1,0,0,0,0,0,1,0,0,0,0,1,3746
27,35160,8.75,3,1,0,0,0,0,0,1,0,0,0,0,1,7659
54,36117,5.0,1,0,1,0,1,0,0,0,0,0,0,0,1,24570
23,36117,11.4,1,0,1,0,0,0,1,0,0,0,0,0,1,27164
23,36117,11.4,1,0,1,0,0,0,1,0,0,0,0,0,1,22197
23,36117,11.4,1,0,1,0,0,0,1,0,0,0,0,0,1,17131
23,36117,11.4,1,0,1,0,0,0,1,0,0,0,0,0,1,27420
23,36117,11.4,1,0,1,0,0,0,1,0,0,0,0,0,1,17528
23,36117,11.4,4,0,1,0,0,0,0,1,0,0,0,0,1,27164
23,36117,11.4,4,0,1,0,0,0,0,1,0,0,0,0,1,22197
23,36117,11.4,4,0,1,0,0,0,0,1,0,0,0,0,1,17131
23,36117,11.4,4,0,1,0,0,0,0,1,0,0,0,0,1,27420
23,36117,11.4,4,0,1,0,0,0,0,1,0,0,0,0,1,17528
25,36116,7.0,2,0,1,0,0,1,0,0,0,1,0,0,0,24681
25,36116,7.0,2,0,1,0,0,1,0,0,0,1,0,0,0,22012
25,36116,7.0,2,0,1,0,0,1,0,0,0,1,0,0,0,22911
25,36116,7.0,2,0,1,0,0,1,0,0,0,1,0,0,0,17704
25,36116,7.0,2,0,1,0,0,1,0,0,0,1,0,0,0,24681
25,36116,7.0,2,0,1,0,0,1,0,0,0,1,0,0,0,22012
25,36116,7.0,2,0,1,0,0,1,0,0,0,1,0,0,0,22911
25,36116,7.0,2,0,1,0,0,1,0,0,0,1,0,0,0,17704
62,36116,7.0,2,0,1,0,0,0,0,1,0,0,0,0,1,17019
62,36116,7.0,2,0,1,0,0,0,0,1,0,0,0,0,1,16205
32,36116,5.0,1,1,0,0,0,0,0,1,0,0,0,0,1,8317
57,36116,5.0,1,0,1,0,1,0,0,0,0,0,0,0,1,24505
16,36116,5.8,1,1,0,1,0,0,0,0,0,0,0,1,0,12253
16,36116,5.8,1,1,0,1,0,0,0,0,0,0,0,1,0,5839
16,36116,5.8,1,1,0,1,0,0,0,0,0,0,0,1,0,12006
16,36116,5.8,1,1,0,1,0,0,0,0,0,0,0,1,0,783
16,36116,5.8,1,1,0,1,0,0,0,0,0,0,0,1,0,8310
16,36116,5.8,2,1,0,1,0,0,0,0,0,0,0,1,0,12253
16,36116,5.8,2,1,0,1,0,0,0,0,0,0,0,1,0,5839
16,36116,5.8,2,1,0,1,0,0,0,0,0,0,0,1,0,12006
16,36116,5.8,2,1,0,1,0,0,0,0,0,0,0,1,0,783
16,36116,5.8,2,1,0,1,0,0,0,0,0,0,0,1,0,8310
16,36116,5.8,1,1,0,0,1,0,0,0,0,0,0,1,0,12253
16,36116,5.8,1,1,0,0,1,0,0,0,0,0,0,1,0,5839
16,36116,5.8,1,1,0,0,1,0,0,0,0,0,0,1,0,12006
16,36116,5.8,1,1,0,0,1,0,0,0,0,0,0,1,0,783
16,36116,5.8,1,1,0,0,1,0,0,0,0,0,0,1,0,8310
16,36116,5.8,1,1,0,0,0,1,0,0,0,0,0,1,0,12253
16,36116,5.8,1,1,0,0,0,1,0,0,0,0,0,1,0,5839
16,36116,5.8,1,1,0,0,0,1,0,0,0,0,0,1,0,12006
16,36116,5.8,1,1,0,0,0,1,0,0,0,0,0,1,0,783
16,36116,5.8,1,1,0,0,0,1,0,0,0,0,0,1,0,8310
30,36116,5.0,1,0,1,1,0,0,0,0,0,0,0,0,1,25659
30,36116,5.0,1,0,1,1,0,0,0,0,0,0,0,0,1,16369
30,36116,5.0,1,0,1,1,0,0,0,0,0,0,0,0,1,28235
30,36116,5.0,1,0,1,1,0,0,0,0,0,0,0,0,1,19956
30,36116,5.0,1,0,1,0,1,0,0,0,0,0,0,0,1,25659
30,36116,5.0,1,0,1,0,1,0,0,0,0,0,0,0,1,16369
30,36116,5.0,1,0,1,0,1,0,0,0,0,0,0,0,1,28235
30,36116,5.0,1,0,1,0,1,0,0,0,0,0,0,0,1,19956
30,36116,5.0,1,0,1,0,1,0,0,0,0,0,0,0,1,25659
30,36116,5.0,1,0,1,0,1,0,0,0,0,0,0,0,1,16369
30,36116,5.0,1,0,1,0,1,0,0,0,0,0,0,0,1,28235
30,36116,5.0,1,0,1,0,1,0,0,0,0,0,0,0,1,19956
30,36116,5.0,1,0,1,0,0,0,0,1,0,0,0,0,1,25659
30,36116,5.0,1,0,1,0,0,0,0,1,0,0,0,0,1,16369
30,36116,5.0,1,0,1,0,0,0,0,1,0,0,0,0,1,28235
30,36116,5.0,1,0,1,0,0,0,0,1,0,0,0,0,1,19956
18,36116,5.0,1,0,1,0,0,1,0,0,0,0,0,0,1,28980
18,36116,5.0,1,0,1,0,0,1,0,0,0,0,0,0,1,23141
18,36116,5.0,1,0,1,0,0,0,0,1,0,0,0,0,1,28980
18,36116,5.0,1,0,1,0,0,0,0,1,0,0,0,0,1,23141
48,36109,5.0,1,0,1,0,0,1,0,0,0,0,0,0,1,18904
41,36109,11.4,4,1,0,1,0,0,0,0,0,0,0,0,1,2453
41,36109,11.4,4,1,0,1,0,0,0,0,0,0,0,0,1,4051
41,36109,11.4,4,1,0,1,0,0,0,0,0,0,0,0,1,13166
41,36109,11.4,4,1,0,1,0,0,0,0,0,0,0,0,1,14090
41,36109,11.4,4,1,0,1,0,0,0,0,0,0,0,0,1,7327
41,36109,11.4,1,1,0,0,0,1,0,0,0,0,0,0,1,2453
41,36109,11.4,1,1,0,0,0,1,0,0,0,0,0,0,1,4051
41,36109,11.4,1,1,0,0,0,1,0,0,0,0,0,0,1,13166
41,36109,11.4,1,1,0,0,0,1,0,0,0,0,0,0,1,14090
41,36109,11.4,1,1,0,0,0,1,0,0,0,0,0,0,1,7327
17,35811,7.0,2,0,1,0,1,0,0,0,0,0,0,0,1,18740
17,35811,7.0,2,0,1,0,1,0,0,0,0,0,0,0,1,27638
36,35811,6.333333333333333,1,0,1,0,1,0,0,0,0,0,0,0,1,20092
36,35811,6.333333333333333,1,0,1,0,1,0,0,0,0,0,0,0,1,23653
36,35811,6.333333333333333,1,0,1,0,1,0,0,0,0,0,0,0,1,21417
36,35811,6.333333333333333,2,0,1,0,0,0,1,0,0,0,0,0,1,20092
36,35811,6.333333333333333,2,0,1,0,0,0,1,0,0,0,0,0,1,23653
36,35811,6.333333333333333,2,0,1,0,0,0,1,0,0,0,0,0,1,21417
64,35811,7.0,2,1,0,1,0,0,0,0,0,0,0,0,1,13915
64,35811,7.0,2,1,0,1,0,0,0,0,0,0,0,0,1,8336
16,35803,10.0,3,1,0,0,1,0,0,0,0,0,0,0,1,5532
16,35803,10.0,3,1,0,0,1,0,0,0,0,0,0,0,1,8768
16,35803,10.0,3,1,0,0,1,0,0,0,0,0,0,0,1,3284
20,35803,5.0,1,1,0,0,0,0,0,1,0,0,0,1,0,13121
58,35801,7.0,2,1,0,0,0,0,1,0,0,0,0,0,1,3037
58,35801,7.0,2,1,0,0,0,0,1,0,0,0,0,0,1,4693
15,35801,7.714285714285714,1,1,0,0,1,0,0,0,0,0,0,0,1,5716
15,35801,7.714285714285714,1,1,0,0,1,0,0,0,0,0,0,0,1,574
15,35801,7.714285714285714,1,1,0,0,1,0,0,0,0,0,0,0,1,1670
15,35801,7.714285714285714,1,1,0,0,1,0,0,0,0,0,0,0,1,308
15,35801,7.714285714285714,1,1,0,0,1,0,0,0,0,0,0,0,1,1589
15,35801,7.714285714285714,1,1,0,0,1,0,0,0,0,0,0,0,1,15635
15,35801,7.714285714285714,1,1,0,0,1,0,0,0,0,0,0,0,1,14840
15,35801,7.714285714285714,1,1,0,0,1,0,0,0,0,0,0,0,1,5716
15,35801,7.714285714285714,1,1,0,0,1,0,0,0,0,0,0,0,1,574
15,35801,7.714285714285714,1,1,0,0,1,0,0,0,0,0,0,0,1,1670
15,35801,7.714285714285714,1,1,0,0,1,0,0,0,0,0,0,0,1,308
15,35801,7.714285714285714,1,1,0,0,1,0,0,0,0,0,0,0,1,1589
15,35801,7.714285714285714,1,1,0,0,1,0,0,0,0,0,0,0,1,15635
15,35801,7.714285714285714,1,1,0,0,1,0,0,0,0,0,0,0,1,14840
15,35801,7.714285714285714,2,1,0,0,0,0,0,1,0,0,0,0,1,5716
15,35801,7.714285714285714,2,1,0,0,0,0,0,1,0,0,0,0,1,574
15,35801,7.714285714285714,2,1,0,0,0,0,0,1,0,0,0,0,1,1670
15,35801,7.714285714285714,2,1,0,0,0,0,0,1,0,0,0,0,1,308
15,35801,7.714285714285714,2,1,0,0,0,0,0,1,0,0,0,0,1,1589
15,35801,7.714285714285714,2,1,0,0,0,0,0,1,0,0,0,0,1,15635
15,35801,7.714285714285714,2,1,0,0,0,0,0,1,0,0,0,0,1,14840
15,35801,7.714285714285714,3,1,0,0,0,0,0,1,0,0,0,0,1,5716
15,35801,7.714285714285714,3,1,0,0,0,0,0,1,0,0,0,0,1,574
15,35801,7.714285714285714,3,1,0,0,0,0,0,1,0,0,0,0,1,1670
15,35801,7.714285714285714,3,1,0,0,0,0,0,1,0,0,0,0,1,308
15,35801,7.714285714285714,3,1,0,0,0,0,0,1,0,0,0,0,1,1589
15,35801,7.714285714285714,3,1,0,0,0,0,0,1,0,0,0,0,1,15635
15,35801,7.714285714285714,3,1,0,0,0,0,0,1,0,0,0,0,1,14840
68,35801,7.0,2,0,1,0,0,0,1,0,0,0,0,0,1,23183
68,35801,7.0,2,0,1,0,0,0,1,0,0,0,0,0,1,23974
41,35801,7.0,2,1,0,1,0,0,0,0,0,0,0,0,1,6313
41,35801,7.0,2,1,0,1,0,0,0,0,0,0,0,0,1,8234
63,35801,11.714285714285714,3,0,1,1,0,0,0,0,0,0,0,1,0,26287
63,35801,11.714285714285714,3,0,1,1,0,0,0,0,0,0,0,1,0,28317
63,35801,11.714285714285714,3,0,1,1,0,0,0,0,0,0,0,1,0,20109
63,35801,11.714285714285714,3,0,1,1,0,0,0,0,0,0,0,1,0,20504
63,35801,11.714285714285714,3,0,1,1,0,0,0,0,0,0,0,1,0,17089
63,35801,11.714285714285714,3,0,1,1,0,0,0,0,0,0,0,1,0,18547
63,35801,11.714285714285714,3,0,1,1,0,0,0,0,0,0,0,1,0,17703
63,35801,11.714285714285714,4,0,1,0,1,0,0,0,0,0,0,1,0,26287
63,35801,11.714285714285714,4,0,1,0,1,0,0,0,0,0,0,1,0,28317
63,35801,11.714285714285714,4,0,1,0,1,0,0,0,0,0,0,1,0,20109
63,35801,11.714285714285714,4,0,1,0,1,0,0,0,0,0,0,1,0,20504
63,35801,11.714285714285714,4,0,1,0,1,0,0,0,0,0,0,1,0,17089
63,35801,11.714285714285714,4,0,1,0,1,0,0,0,0,0,0,1,0,18547
63,35801,11.714285714285714,4,0,1,0,1,0,0,0,0,0,0,1,0,17703
61,35801,7.0,2,1,0,0,1,0,0,0,0,0,0,0,1,9835
61,35801,7.0,2,1,0,0,1,0,0,0,0,0,0,0,1,10023
34,35802,5.0,1,1,0,1,0,0,0,0,0,0,0,1,0,2837
22,35173,5.0,1,0,1,1,0,0,0,0,0,0,0,0,1,28510
22,35173,5.0,1,0,1,1,0,0,0,0,0,0,0,0,1,28272
22,35173,5.0,1,0,1,0,0,1,0,0,0,0,0,0,1,28510
22,35173,5.0,1,0,1,0,0,1,0,0,0,0,0,0,1,28272
68,35173,8.75,1,0,1,1,0,0,0,0,0,0,0,0,1,27677
68,35173,8.75,1,0,1,1,0,0,0,0,0,0,0,0,1,29097
68,35173,8.75,1,0,1,1,0,0,0,0,0,0,0,0,1,27104
68,35173,8.75,1,0,1,1,0,0,0,0,0,0,0,0,1,24212
68,35173,8.75,3,0,1,0,1,0,0,0,0,0,0,0,1,27677
68,35173,8.75,3,0,1,0,1,0,0,0,0,0,0,0,1,29097
68,35173,8.75,3,0,1,0,1,0,0,0,0,0,0,0,1,27104
68,35173,8.75,3,0,1,0,1,0,0,0,0,0,0,0,1,24212
50,35173,6.333333333333333,1,1,0,0,0,0,1,0,0,0,0,1,0,6110
50,35173,6.333333333333333,1,1,0,0,0,0,1,0,0,0,0,1,0,7515
50,35173,6.333333333333333,1,1,0,0,0,0,1,0,0,0,0,1,0,8123
50,35173,6.333333333333333,2,1,0,0,0,0,0,1,0,0,0,1,0,6110
50,35173,6.333333333333333,2,1,0,0,0,0,0,1,0,0,0,1,0,7515
50,35173,6.333333333333333,2,1,0,0,0,0,0,1,0,0,0,1,0,8123
29,35810,5.0,1,0,1,1,0,0,0,0,0,0,0,0,1,25841
29,35810,5.0,1,0,1,1,0,0,0,0,0,0,0,0,1,27808
29,35810,5.0,1,0,1,0,0,1,0,0,0,0,0,0,1,25841
29,35810,5.0,1,0,1,0,0,1,0,0,0,0,0,0,1,27808
64,35810,8.75,3,0,1,1,0,0,0,0,0,0,0,0,1,24961
64,35810,8.75,3,0,1,1,0,0,0,0,0,0,0,0,1,16348
64,35810,8.75,3,0,1,1,0,0,0,0,0,0,0,0,1,16843
64,35810,8.75,3,0,1,1,0,0,0,0,0,0,0,0,1,28954
64,35810,8.75,1,0,1,0,0,0,0,1,0,0,0,0,1,24961
64,35810,8.75,1,0,1,0,0,0,0,1,0,0,0,0,1,16348
64,35810,8.75,1,0,1,0,0,0,0,1,0,0,0,0,1,16843
64,35810,8.75,1,0,1,0,0,0,0,1,0,0,0,0,1,28954
48,35810,5.0,1,1,0,1,0,0,0,0,0,0,0,0,1,5879
15,35810,5.0,1,0,1,0,1,0,0,0,0,0,0,1,0,25327
15,35810,5.0,1,0,1,0,1,0,0,0,0,0,0,1,0,26347
15,35810,5.0,1,0,1,0,0,1,0,0,0,0,0,1,0,25327
15,35810,5.0,1,0,1,0,0,1,0,0,0,0,0,1,0,26347
32,35805,8.166666666666666,2,0,1,0,1,0,0,0,0,0,1,0,0,25224
32,35805,8.166666666666666,2,0,1,0,1,0,0,0,0,0,1,0,0,28746
32,35805,8.166666666666666,2,0,1,0,1,0,0,0,0,0,1,0,0,18693
32,35805,8.166666666666666,2,0,1,0,1,0,0,0,0,0,1,0,0,29048
32,35805,8.166666666666666,2,0,1,0,1,0,0,0,0,0,1,0,0,17951
32,35805,8.166666666666666,2,0,1,0,1,0,0,0,0,0,1,0,0,20765
32,35805,8.166666666666666,1,0,1,0,0,0,1,0,0,0,1,0,0,25224
32,35805,8.166666666666666,1,0,1,0,0,0,1,0,0,0,1,0,0,28746
32,35805,8.166666666666666,1,0,1,0,0,0,1,0,0,0,1,0,0,18693
32,35805,8.166666666666666,1,0,1,0,0,0,1,0,0,0,1,0,0,29048
32,35805,8.166666666666666,1,0,1,0,0,0,1,0,0,0,1,0,0,17951
32,35805,8.166666666666666,1,0,1,0,0,0,1,0,0,0,1,0,0,20765
32,35805,8.166666666666666,3,0,1,0,0,0,0,1,0,0,1,0,0,25224
32,35805,8.166666666666666,3,0,1,0,0,0,0,1,0,0,1,0,0,28746
32,35805,8.166666666666666,3,0,1,0,0,0,0,1,0,0,1,0,0,18693
32,35805,8.166666666666666,3,0,1,0,0,0,0,1,0,0,1,0,0,29048
32,35805,8.166666666666666,3,0,1,0,0,0,0,1,0,0,1,0,0,17951
32,35805,8.166666666666666,3,0,1,0,0,0,0,1,0,0,1,0,0,20765
47,35805,5.0,1,1,0,0,1,0,0,0,0,0,0,0,1,9896
34,35242,7.0,2,0,1,0,0,0,0,1,0,0,0,1,0,22570
34,35242,7.0,2,0,1,0,0,0,0,1,0,0,0,1,0,27278
57,35242,5.0,1,1,0,0,0,0,1,0,0,0,0,0,1,14691
44,35242,5.0,1,0,1,0,0,1,0,0,0,1,0,0,0,27376
34,35242,5.0,1,0,1,0,0,1,0,0,0,0,0,0,1,16664
28,35758,5.0,1,1,0,0,0,1,0,0,0,0,0,0,1,3772
28,35758,5.0,1,1,0,0,0,1,0,0,0,0,0,0,1,11215
28,35758,5.0,1,1,0,0,0,0,1,0,0,0,0,0,1,3772
28,35758,5.0,1,1,0,0,0,0,1,0,0,0,0,0,1,11215
49,35758,5.0,1,1,0,1,0,0,0,0,0,0,0,0,1,202
49,35758,5.0,1,1,0,1,0,0,0,0,0,0,0,0,1,10378
49,35758,5.0,1,1,0,0,0,1,0,0,0,0,0,0,1,202
49,35758,5.0,1,1,0,0,0,1,0,0,0,0,0,0,1,10378
24,35758,5.0,1,0,1,0,0,0,0,1,0,0,0,0,1,18371
24,35758,5.0,1,0,1,0,0,0,0,1,0,0,0,0,1,18176
24,35758,5.0,1,0,1,0,0,0,0,1,0,0,0,0,1,18371
24,35758,5.0,1,0,1,0,0,0,0,1,0,0,0,0,1,18176
64,35758,7.0,2,0,1,1,0,0,0,0,0,0,0,0,1,25506
64,35758,7.0,2,0,1,1,0,0,0,0,0,0,0,0,1,25897
64,35758,7.0,2,0,1,1,0,0,0,0,0,0,0,0,1,29066
64,35758,7.0,2,0,1,1,0,0,0,0,0,0,0,0,1,19089
64,35758,7.0,2,0,1,1,0,0,0,0,0,0,0,0,1,25506
64,35758,7.0,2,0,1,1,0,0,0,0,0,0,0,0,1,25897
64,35758,7.0,2,0,1,1,0,0,0,0,0,0,0,0,1,29066
64,35758,7.0,2,0,1,1,0,0,0,0,0,0,0,0,1,19089
38,35758,5.0,1,1,0,0,0,0,0,1,0,0,0,0,1,8025
56,35749,5.0,1,1,0,0,0,0,0,1,0,0,0,0,1,10729
18,35749,6.333333333333333,2,0,1,1,0,0,0,0,0,0,0,0,1,24889
18,35749,6.333333333333333,2,0,1,1,0,0,0,0,0,0,0,0,1,25535
18,35749,6.333333333333333,2,0,1,1,0,0,0,0,0,0,0,0,1,26856
18,35749,6.333333333333333,1,0,1,0,0,0,0,1,0,0,0,0,1,24889
18,35749,6.333333333333333,1,0,1,0,0,0,0,1,0,0,0,0,1,25535
18,35749,6.333333333333333,1,0,1,0,0,0,0,1,0,0,0,0,1,26856
41,35124,7.0,2,1,0,0,1,0,0,0,0,0,0,0,1,5849
41,35124,7.0,2,1,0,0,1,0,0,0,0,0,0,0,1,7734
37,35216,6.333333333333333,1,0,1,0,1,0,0,0,0,0,0,0,1,28115
37,35216,6.333333333333333,1,0,1,0,1,0,0,0,0,0,0,0,1,25486
37,35216,6.333333333333333,1,0,1,0,1,0,0,0,0,0,0,0,1,20833
37,35216,6.333333333333333,2,0,1,0,0,0,0,1,0,0,0,0,1,28115
37,35216,6.333333333333333,2,0,1,0,0,0,0,1,0,0,0,0,1,25486
37,35216,6.333333333333333,2,0,1,0,0,0,0,1,0,0,0,0,1,20833
43,35216,5.0,1,1,0,0,0,0,1,0,0,0,0,0,1,11208
43,35216,5.0,1,1,0,0,0,0,1,0,0,0,0,0,1,1668
43,35216,5.0,1,1,0,0,0,0,1,0,0,0,0,0,1,11208
43,35216,5.0,1,1,0,0,0,0,1,0,0,0,0,0,1,1668
60,35007,5.0,1,0,1,0,0,1,0,0,0,0,0,0,1,26365
46,35007,5.0,1,0,1,0,0,1,0,0,0,0,1,0,0,17642
37,35007,7.0,2,1,0,0,0,0,0,1,0,0,0,0,1,4163
37,35007,7.0,2,1,0,0,0,0,0,1,0,0,0,0,1,3284
37,35007,7.0,2,1,0,0,0,0,0,1,0,0,0,0,1,6518
37,35007,7.0,2,1,0,0,0,0,0,1,0,0,0,0,1,8520
37,35007,7.0,2,1,0,0,0,0,0,1,0,0,0,0,1,4163
37,35007,7.0,2,1,0,0,0,0,0,1,0,0,0,0,1,3284
37,35007,7.0,2,1,0,0,0,0,0,1,0,0,0,0,1,6518
37,35007,7.0,2,1,0,0,0,0,0,1,0,0,0,0,1,8520
